"Patterns"	"Freq"	"Percent"	"Length"	"Freq1"	"Percent1"
"212"	20	"44.44%"	3	14	"31.11%"
"202"	19	"42.22%"	3	9	"20.00%"
"BAB"	16	"35.56%"	3	13	"28.89%"
"D0D"	16	"35.56%"	3	9	"20.00%"
"F0F"	16	"35.56%"	3	12	"26.67%"
"020"	15	"33.33%"	3	7	"15.56%"
"B0B"	14	"31.11%"	3	12	"26.67%"
"010"	13	"28.89%"	3	7	"15.56%"
"404"	13	"28.89%"	3	12	"26.67%"
"C0C"	13	"28.89%"	3	11	"24.44%"
"023"	12	"26.67%"	3	8	"17.78%"
"0D0"	12	"26.67%"	3	8	"17.78%"
"101"	12	"26.67%"	3	6	"13.33%"
"E0E"	12	"26.67%"	3	11	"24.44%"
