choiceD,space,step2,choiceF,space,choiceE,step2,space,choiceD,choiceE,choiceD,choiceC,space,choiceC,step3,space,choiceB,choiceD,choiceC,space,choiceE,step4,step5,choiceG,space,step5,space,choiceA,space,choiceB,step5,space,step5,space,choiceA,space,step6,choiceB,choiceG,space,choiceB,choiceA,step5,step6,space,step7,choiceB,choiceA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceA,step1,choiceA,choiceB,choiceC,step2,step1,choiceE,choiceF,space,step2,step3,space,choiceE,space,step3,choiceG,space,step3,step2,choiceC,step3,space,choiceC,choiceB,choiceA,choiceB,choiceG,choiceB,choiceA,step5,choiceG,step5,choiceA,step7,choiceG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceB,step1,choiceG,step1,choiceG,choiceE,choiceG,step1,space,choiceC,choiceE,choiceF,step2,choiceB,choiceA,choiceC,step3,choiceD,choiceE,choiceB,choiceA,step4,space,step4,choiceB,step5,choiceG,step6,choiceF,step6,choiceA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceD,step2,step1,choiceB,choiceA,space,step1,choiceF,choiceE,choiceG,choiceC,step2,step3,step2,step3,space,choiceC,step3,choiceE,step3,step2,step1,step4,space,step4,space,choiceB,step4,choiceA,step5,choiceG,step7,space,step6,choiceA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceD,choiceE,step1,choiceA,choiceD,choiceC,step2,choiceC,space,choiceC,space,step2,step1,step2,choiceC,choiceD,step1,choiceC,step2,step3,choiceB,choiceA,step2,choiceE,choiceB,choiceA,choiceF,choiceG,choiceE,step4,choiceB,step5,choiceA,choiceG,step6,choiceF,step6,step5,choiceA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceD,step1,choiceA,choiceB,choiceC,choiceF,step2,choiceF,choiceE,step2,choiceF,step6,step2,space,step2,step3,step2,space,step2,choiceD,choiceC,step1,choiceC,step2,choiceC,step3,choiceE,space,choiceE,space,step3,choiceE,step3,choiceE,step5,step4,space,choiceG,choiceB,choiceA,choiceB,step4,step5,choiceG,step6,choiceA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceA,step7,step6,choiceF,choiceA,choiceF,choiceE,space,choiceD,choiceC,choiceB,choiceD,step5,step6,step5,choiceE,choiceD,choiceC,choiceE,step5,step4,choiceF,space,choiceF,choiceC,step3,choiceD,choiceF,choiceD,step2,space,step2,choiceD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceD,space,step1,choiceA,choiceE,space,choiceB,space,choiceC,space,step2,step3,choiceC,space,step2,space,choiceA,space,choiceA,choiceB,space,choiceB,choiceF,space,step3,step2,choiceF,step2,step1,step2,step4,space,choiceE,space,step2,step3,choiceF,choiceE,space,step4,choiceF,step2,space,choiceB,space,step3,step4,space,choiceB,choiceA,space,choiceG,space,choiceB,step5,space,choiceG,space,step6,choiceA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceD,step1,choiceE,choiceF,step1,step2,choiceE,choiceF,choiceE,choiceF,choiceE,space,choiceF,space,step2,step1,choiceF,step1,step2,choiceA,choiceB,choiceC,choiceE,choiceC,step3,step1,space,step1,space,step1,space,step1,space,step1,step2,step3,step2,step3,step2,step3,choiceB,choiceA,choiceE,step3,choiceE,choiceG,step4,space,step4,choiceB,choiceA,space,choiceG,space,step4,step2,choiceB,choiceA,choiceB,step5,step7,choiceG,step6,choiceA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceD,step2,step1,step2,step1,space,choiceE,choiceF,space,choiceF,step3,step2,step3,choiceD,choiceC,space,choiceD,choiceC,step3,step4,step3,space,step3,step4,step3,space,choiceB,choiceC,choiceB,space,choiceB,choiceE,space,choiceE,step4,space,step4,choiceB,space,choiceA,space,choiceC,choiceB,choiceA,choiceB,space,step5,choiceG,space,choiceG,step5,space,step6,choiceA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceE,step3,step2,step4,space,choiceF,choiceD,space,choiceD,space,choiceD,choiceE,space,choiceC,step3,choiceC,step3,choiceC,step3,choiceC,step3,choiceC,space,choiceB,step3,step4,space,choiceB,space,choiceB,space,choiceE,choiceG,choiceC,choiceB,space,choiceG,space,choiceB,space,choiceG,step6,choiceB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceC,choiceD,step2,step1,choiceC,step3,step2,choiceE,space,choiceE,choiceF,choiceE,space,choiceF,step3,step2,choiceF,space,choiceD,choiceF,space,step2,step1,step2,choiceC,step3,choiceE,step3,choiceE,step4,choiceG,choiceB,step6,step5,choiceA,choiceF,choiceG,step6,choiceA,step6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
